id,question_id,created,updated,content,creator,is_spam,num_helpful,num_unhelpful
1821418,1584100,2026-05-27 17:23:50 -0700,2026-05-27 17:23:50 -0700,"<p>I am not a Mac user, and maybe I'm  misunderstanding your issue, but version 140 is available at <a href=""https://www.thunderbird.net/en-US/thunderbird/all/"" rel=""nofollow"">https://www.thunderbird.net/en-US/thunderbird/all/</a> </p>",davidsk,false,0,0
1821504,1584100,2026-05-28 02:13:07 -0700,2026-05-28 02:13:07 -0700,"<p>The last version to support 10.12 is 115: </p><p><a href=""https://www.thunderbird.net/en-US/thunderbird/115.18.0esr/releasenotes/"" rel=""nofollow"">https://www.thunderbird.net/en-US/thunderbird/115.18.0esr/releasenotes/</a> </p><p><a href=""https://archive.mozilla.org/pub/thunderbird/releases/115.18.0/mac/"" rel=""nofollow"">https://archive.mozilla.org/pub/thunderbird/releases/115.18.0/mac/</a> </p>",sfhowes,false,0,0
1821507,1584100,2026-05-28 02:23:43 -0700,2026-05-28 02:23:43 -0700,"<em><p>bcbryan2535 <a href=""#question-1584100"" rel=""nofollow"">said</a></p></em> <blockquote>Seeking Thunderbird for macOS 10.12.6 Sierra </blockquote> <p>Both Thunderbird and Firefox version 116.0 and later requires macOS 10.15 (ten.fifteen) at minimum to run.  </p><p>As said Tb 115.18.0 was the last version while the older Firefox 115 ESR is still being updated and is at Fx 115.36.0esr. <a href=""https://support.mozilla.org/en-US/kb/firefox-users-macos-1012-1013-1014-moving-to-extended-support"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/firefox-users-macos-1012-1013-1014-moving-to-extended-support</a> </p>",James,false,0,0
1821441,1584115,2026-05-27 19:19:08 -0700,2026-05-27 19:19:08 -0700,"<p>Per poter inquadrare il problema prova a fornire queste informazioni: </p> <ol><li> Versione di Thunderbird </li><li> Versione del sistema operativo </li><li> Provider delle caselle email (Gmail, Libero, Hotmail, etc.) </li><li> Tipologia di account (POP3, IMAP) </li><li> Estensioni installate </li><li> Messaggi di errore che vengono visualizzati durante l'utilizzo di Thunderbird </li><li> Software di sicurezza eventualmente presenti (Antivirus e simili) </li><li> Screenshot del problema (se utile a chiarire il contesto) </li></ol>",@next,false,0,0
1821454,1584134,2026-05-27 20:51:39 -0700,2026-05-27 20:51:39 -0700,"<p>I do not understand, as procedures for transferring profiles is documented and one of the more frequent posts here. What was unique about your issue that causes you to make your criticism. Thank you. </p>",davidsk,false,0,0
1821465,1584134,2026-05-27 21:37:05 -0700,2026-05-27 21:37:05 -0700,"<p>I was not intending my post as criticism, but rather as a suggestion to improve the Thunderbird user experience. I understand that profile transfer procedures are documented and frequently discussed here. My concern was specifically about the update/change creating the appearance of a fresh installation, which could easily lead less technical users to believe their data had been lost. </p><p>Since the issue was ultimately resolved by copying the existing application data directory (or potentially through a symbolic link), I thought an automated migration step or clearer handling of the directory rename could help avoid unnecessary confusion for users in the future. </p>",hdeeee,false,0,0
1821550,1584156,2026-05-28 08:15:31 -0700,2026-05-28 08:15:31 -0700,"<p>Try having your client disable the outgoing email scanning option in their antivirus app, if there is one. </p>",siffemoz,false,0,0
1821475,1584158,2026-05-27 23:37:12 -0700,2026-05-27 23:37:12 -0700,"<p>Additionally if using the account hub wizard, and trying to add a gmail account using imap, it'll say ""Waiting for authorization in login popup"" but no pop up comes up. Then says ""Authentication error"" / ""Unable to log in at server. Probably wrong configuration, username or password."" </p>",branden.bb,false,0,0
1821498,1584158,2026-05-28 01:51:23 -0700,2026-05-28 01:51:23 -0700,"<p>(it's also occurring on multiple computers, not just the one...) </p>",branden.bb,false,0,0
1821541,1584166,2026-05-28 08:05:23 -0700,2026-05-28 08:28:44 -0700,"<p>I saw that a couple of times tonight on Beta, but after restarting a few times it hasn't happened again. </p><p>Edit: I'm using Fastmail and just learned there was a problem with it earlier, which likely caused my problem. Are you using Fastmail? </p>",siffemoz,false,0,0
1821540,1584183,2026-05-28 08:03:44 -0700,2026-05-28 08:03:44 -0700,<p>That is a known bug. I think it's fixed but don't know when it will ship. </p>,siffemoz,false,1,0
1821538,1584204,2026-05-28 07:54:53 -0700,2026-05-28 07:54:53 -0700,<p>There is absolutely nothing in your post that tells us what the problem is. </p>,siffemoz,false,0,0
1821536,1584209,2026-05-28 07:40:04 -0700,2026-05-28 07:40:04 -0700,"<p>Ciao, </p><p>puoi fornirci maggiori dettagli sul problema riscontrato? Senza ulteriori dettagli, non possiamo fare molto per aiutarti. </p><p>Quando pubblichi domande, è utile includere informazioni come il sistema operativo, la versione del browser, messaggi di errore specifici e i passaggi che hai seguito per cercare di risolvere il problema. Questo tipo di contesto consente ai membri della comunità di fornire una soluzione più accurata ed efficace. </p><p>Restiamo in attesa dei tuoi aggiornamenti! </p>",@next,false,0,0
