id,question_id,created,updated,content,creator,is_spam,num_helpful,num_unhelpful
1805707,1570975,2026-03-15 09:10:18 +0000,2026-03-15 09:10:18 +0000,"<p>Dovresti chiedere a Google perché (non sei il primo a cui capita). Lato Thunderbird posso solo suggerirti di assicurarti che le tue impostazioni siano quelle descritte qui -&gt; <a href=""https://support.mozilla.org/it/kb/thunderbird-gmail"" rel=""nofollow"">https://support.mozilla.org/it/kb/thunderbird-gmail</a> </p>",@next,false,0,0
1805732,1570987,2026-03-15 13:07:22 +0000,2026-03-15 13:07:22 +0000,"<p>Thunderbird cannot fix this, and is just reporting the problem message it received. Your IP is possibly blocked for spam. Not necessarily by you. You might check <a href=""https://mxtoolbox.com/blacklists.aspx"" rel=""nofollow"">https://mxtoolbox.com/blacklists.aspx</a> to see results of an IP check. </p>",davidsk,false,0,0
1805716,1570991,2026-03-15 10:39:31 +0000,2026-03-15 10:39:31 +0000,"<p>How do you open a message to read its contents?  By double-click to open it in a new tab or a new window? Do you see the ""Reply"" button in the message header pane? </p>",Mapenzi,false,1,0
1805736,1570991,2026-03-15 13:42:52 +0000,2026-03-15 13:42:52 +0000,"<p>How to reply to a message? </p><p>Add a ""Reply"" button to the top toolbar and use it. Right click on the message and select ""Reply"" in the drop-down menu. Use the keyboard shortcut Command-r on a Macintosh. Control-r in Windows, I assume. Use the reply button in the message pane header. </p>",mozilla98,false,0,0
1805904,1570991,2026-03-16 08:17:41 +0000,2026-03-16 08:18:02 +0000,<p>Thanks!  I right-clicked the message expecting a Reply or Reply-All </p>,theking2,false,0,0
1805926,1570991,2026-03-16 10:59:35 +0000,2026-03-16 11:01:03 +0000,<p>Many screen shots in Thunderbird forums are too small to explain or illustrate a problem.  Yours is one of those since it shows a piece of a puzzle and not the bigger picture. It doesn't show that you have selected a <strong>collapsed</strong> message thread in the thread pane and then hit the R-click to open the context menu (see my image) </p><p>As far as I know you cannot reply to a message thread (or several selected messages) but only to a single message. </p>,Mapenzi,false,0,0
1805938,1570991,2026-03-16 11:55:15 +0000,2026-03-16 11:55:15 +0000,<p>You might find a discussion on the forum about why using threads work better in table view than card view. </p>,mozilla98,false,0,0
1805941,1570991,2026-03-16 12:11:16 +0000,2026-03-16 12:11:16 +0000,<p>@johannes the context menu will be the same if you R-click on a collapsed thread in table view:  there is no Reply option in the context menu (and there is no Reply button in the message header toolbar neither) </p>,Mapenzi,false,0,0
1805715,1570992,2026-03-15 10:36:12 +0000,2026-03-15 10:36:12 +0000,"<p>Start Thunderbird in 'troubleshoot mode'  <a href=""https://support.mozilla.org/en-US/kb/troubleshoot-mode-thunderbird"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/troubleshoot-mode-thunderbird</a> </p>",Mapenzi,false,0,0
1805718,1570992,2026-03-15 11:01:38 +0000,2026-03-15 11:01:38 +0000,<p>Hello there Jf berthiaux. </p><p><em><strong>Can i open thunderbird</strong></em> Is there a message queue bottleneck? Check for new messages. </p>,Googlethunderbird.,false,0,0
