id,question_id,created,updated,content,creator,is_spam,num_helpful,num_unhelpful
1807841,1572722,2026-03-25 17:20:05 -0700,2026-03-25 17:20:05 -0700,"<p>BTW, .xlxs (excel) files open normally. </p>",nsolot,false,0,0
1807908,1572722,2026-03-25 22:01:05 -0700,2026-03-25 22:01:05 -0700,"<p>It is determined to be a problem/conflict with NordVPN and the ""Threat Protection Pro"". Disabling this Threat Protection Pro and files now open normally in TB. </p>",nsolot,false,0,0
1807865,1572737,2026-03-25 18:31:46 -0700,2026-03-25 18:31:46 -0700,<p>I see you posted on the Firefox forum and also here. I await more information from you on your problem. thank you </p>,davidsk,false,0,0
1807882,1572755,2026-03-25 20:28:38 -0700,2026-03-25 20:28:38 -0700,"<p>Hello there Johnsigwald </p><p><br> <em><strong>automatic updates</strong></em> Some settings appear to be incorrect. Did you have automatic updates enabled? Updates often alter settings for extensions or add-ons. An automatic update may have altered your dark mode or other extensions, affecting their colors. Please check all extensions and add-ons to verify if they have updated. </p>",Googlethunderbird.,false,0,0
1807889,1572762,2026-03-25 20:52:35 -0700,2026-03-25 20:52:35 -0700,"<p>The out-of-the-box Print function reflects your View | Headers setting, that is, if you're set to Normal you will print minimal headers only, if you're set to ""All"" you'll get much more. As far as I know, that's all the control you have without the aid of an add-on. Check out ""PrintingTools NG"" which gives you many more options. </p><p><a href=""https://services.addons.thunderbird.net/en-US/thunderbird/addon/printingtools-ng/"" rel=""nofollow"">https://services.addons.thunderbird.net/en-US/thunderbird/addon/printingtools-ng/</a> </p>",rednoise,false,1,0
1807895,1572762,2026-03-25 21:23:20 -0700,2026-03-25 21:23:20 -0700,<p>Thank you Lin! Worked like a charm. </p>,fgnichols,false,1,0
1807954,1572816,2026-03-26 05:57:06 -0700,2026-03-26 05:57:06 -0700,"<p>Error code 550 5.7.1 indicates that your message has been rejected by the receiver's mail system. That can happen for a variety of reasons, including that your email service is on a block list, or is misconfigured. You can read a more technical description here: </p><p><a href=""https://email-knowledge.com/bouncecodes/5-7-1/"" rel=""nofollow"">https://email-knowledge.com/bouncecodes/5-7-1/</a> </p><p>Unless you have direct control of your mail server settings, there is nothing your can do about it except to confirm your server settings and contact your email service tech support. It's not a Thunderbird thing. </p>",rednoise,false,1,0
1807967,1572834,2026-03-26 07:25:00 -0700,2026-03-26 07:25:00 -0700,<p>It is very possible to switch email programs. What is the new one? What was the old one? Was it an older version of Thunderbird or some other program? </p>,rednoise,false,0,0
1807990,1572843,2026-03-26 09:08:01 -0700,2026-03-26 09:08:01 -0700,"<p>Per poter inquadrare il problema prova a fornire queste informazioni: </p> <ol><li> Versione di Thunderbird </li><li> Versione del sistema operativo </li><li> Provider delle caselle email (Gmail, Libero, Hotmail, etc.) </li><li> Tipologia di account (POP3, IMAP) </li><li> Estensioni installate </li><li> Messaggi di errore che vengono visualizzati durante l'utilizzo di Thunderbird </li><li> Software di sicurezza eventualmente presenti (Antivirus e simili) </li><li> Screenshot del problema (se utile a chiarire il contesto) </li></ol>",@next,false,0,0
