id,question_id,created,updated,content,creator,is_spam,num_helpful,num_unhelpful
1822752,1585164,2026-06-02 14:00:23 +0000,2026-06-02 14:00:46 +0000,"<p>Pokusne dajte súbor  xxx.dxf  na root disku C: a pokúste sa ho odoslať. Zdá sa, že Thunderbird nemá k súboru  xxx.dxf  přístup - možno chránený priečinok, alebo celý disk... </p>",Ansamb,false,0,0
1822881,1585164,2026-06-03 05:42:50 +0000,2026-06-03 05:42:50 +0000,"<p>Když přílohu stáhnu a pošlu, tak to jde. Zaráží mě, že se to hlavně děje kolem 5:00 ráno a pak celý den to funguje i ten konkrétní soubor, který nešel. </p>",pcsinek,false,0,0
1822705,1585167,2026-06-02 10:52:30 +0000,2026-06-02 10:52:30 +0000,"<p>The documentation for that addon indicates it works up to version 140.11, but it works for me also in 151. If you are having a problem you should report your version number, your OS version, and a detail description of the problem to the developer. </p>",davidsk,false,1,0
1822703,1585169,2026-06-02 10:44:44 +0000,2026-06-02 10:44:44 +0000,"<p>This forum may prove helpful:  <a href=""https://forums.mozillazine.jp/"" rel=""nofollow"">https://forums.mozillazine.jp/</a>  Also, user forums such as this are there so users can assist each other. This forum's role is not to gather information to provide to developers. Thank you for your post. </p>",davidsk,false,0,1
1822725,1585172,2026-06-02 11:54:14 +0000,2026-06-02 11:54:14 +0000,"<p>There is a lot of info available on date formats (probably too much.). I found three sites:  </p><p><a href=""https://kb.mozillazine.org/Date_display_format"" rel=""nofollow"">https://kb.mozillazine.org/Date_display_format</a> </p><p><a href=""https://enterprise.thunderbird.net/manage-updates-policies-and-customization/thunderbird-preferences-enterprise/customize-thunderbirds-date-and-time-formats"" rel=""nofollow"">https://enterprise.thunderbird.net/manage-updates-policies-and-customization/thunderbird-preferences-enterprise/customize-thunderbirds-date-and-time-formats</a> </p><p><a href=""https://support.mozilla.org/en-US/kb/customize-date-time-formats-thunderbird"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/customize-date-time-formats-thunderbird</a> </p><p>Maybe if you describe the attempts you made, and show the desired format, someone may have suggestions. Thank you </p>",davidsk,false,0,0
1823164,1585174,2026-06-04 11:11:37 +0000,2026-06-05 09:50:05 +0000,<p>Bericht verwijderd in verband met verkeerde antwoorden. </p>,Mozilla-assistent,false,0,0
1823181,1585174,2026-06-04 13:39:52 +0000,2026-06-04 13:39:52 +0000,"<p>Ik ben heel dankbaar dat je hebt willen reageren! Mijn probleem is helaas nog niet opgelost, omdat ik al meteen stuitte op een ander probleem bij het volgen van je advies, namelijk: ik kan ""Hulpmiddelen"" nergens vinden in mijn programma. Dus kan ik ook niet verder met het toebrengen van de nodige wijzigingen om mijn gewenste tekstkleur in te stellen. Vreemd dat het in Windows altijd goed gaat, maar in Linux niet.... Is er een andere optie om het probleem opgelost te krijgen? Eventueel via commando's in het Terminal, of zo? Ik zie reacties heel graag tegemoet, bij voorbaat dank! </p>",fplantinga,false,0,0
1823318,1585174,2026-06-05 08:38:27 +0000,2026-06-05 08:38:27 +0000,"<p>Sorry voor bovenstaand antwoord, dat is verre van correct en zal ik verwijderen. (klinkt als AI ;) ) Even een extra vraag: wil je in de opmaak van een nieuw bericht de tekstkleur aanpassen, of wil je de kleur van ontvangen berichten in een andere kleur bekijken? </p>",Mozilla-assistent,false,0,0
1823320,1585174,2026-06-05 08:43:53 +0000,2026-06-05 08:43:53 +0000,"<p>Dank weer voor je reactie, is heel welkom! Inmiddels heb ik van iemand begrepen dat ik op mijn eigen scherm de kleuren niet kan aanpassen in de mails die ik verstuur (ook antwoorden op mails), want alles blijft zwart, maar de ontvangers krijgen wél de gekleurde tekst te zien! Dus het ligt aan de instellingen van mijn eigen scherm in Thunderbird en Betterbird. Deze beide progjes heb ik even allebei in gebruik om te zien of het verschil oplevert.... </p><p>Misschien heb jij hier een oplossing voor? ik vind het wel vreemd dat mijn scherm een zwarte tekst laat zien, terwijl de ontvanger wel de gekleurde tekst ontvangt. Dus ik kan dan waarschijnlijk zelf iets aan een bepaalde instelling doen? </p>",fplantinga,false,0,0
1823327,1585174,2026-06-05 10:05:51 +0000,2026-06-05 10:05:51 +0000,<p>Druk eens op de Alt-toets en selecteer dan Beeld &gt; Berichttekst als &gt; Originele HTML selecteren indien dat niet het geval is. </p>,Mozilla-assistent,false,0,0
1823333,1585174,2026-06-05 11:04:27 +0000,2026-06-05 11:04:27 +0000,"<p>Gedaan, maar nog steeds zie ik mijn tekst, ook al kies ik voor een kleur, als zwart terug op mijn scherm. Dat is zowel als ik de mail opmaak, als bij het ontvangen van de mail die ik aan mezelf gestuurd heb. Terwijl mijn vriendin in Frankrijk die gekleurde tekst wél kan zien..... Ik snap er nog steeds niks van.... </p>",fplantinga,false,0,0
1822796,1585181,2026-06-02 17:52:39 +0000,2026-06-02 17:52:39 +0000,"<p>In the Event window, click the Reminder drop-down, Custom..., and Add reminders as in the attached picture. </p>",sfhowes,false,0,0
1822930,1585181,2026-06-03 11:07:31 +0000,2026-06-03 11:07:31 +0000,<p>Thank you. </p><p>Is there any way to make that custom list a default for all reminders?  Or at least some sort of template? </p>,firefox1386,false,0,0
1823009,1585181,2026-06-03 16:49:00 +0000,2026-06-03 16:49:00 +0000,"<p>I don't think you can make a custom set of alerts the default, but you can copy and paste events and retain the same alerts. </p>",sfhowes,false,0,0
