id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1429227,2023-10-29,Download new messages Howdy            When I click get messages it downloads both clients at the same time. I already unchecked all the boxes in settings for d,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-28 17:11:24 -0700
1429232,2023-10-29,"Persistent garbled message Hi Support, These days I am getting more garbled messages and it  is becoming so tiring to do inbox repair. I am not happy with the S",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-28 18:55:01 -0700
1429233,2023-10-29,Inbox has changed and difficult to use Suddenly a new message will arrive with several related messages attached as happens with a search.  The new message is n,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-28 19:11:04 -0700
1429234,2023-10-29,https://addons.thunderbird.net/en-US/thunderbird/addon/importexporttools-ng/ hows to i add https://addons.thunderbird.net/en-US/thunderbird/addon/importexportto,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-10-28 20:45:59 -0700
1429238,2023-10-29,"E mail display suddenly changed, WHY Why have you changed the Thunderbird email display? I do not like it. Selwyn. ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-28 21:10:42 -0700
1429250,2023-10-29,"have some problems with the new TB 115 main display. hi all, 115 changed some stuff on the main display and I'm not able to fix it or understand why. in the scr",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-10-29 00:09:41 -0700
1429253,2023-10-29,"Attached email Good morning, the new Supernova version has a strange behavior: if I open a message from an .eml file (on the filesystem) and this message contai",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-29 00:48:06 -0700
1429254,2023-10-29,"NON INVIA LE MAIL Buongiorno, mi da questo errore ""Invio del messaggio non riuscito. Si è verificato un errore durante l’invio della posta. Il server di posta h",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-10-29 00:54:33 -0700
1429258,2023-10-29,"User authenticated but not connected, server may have gone down Since updating Thunderbird, I cannot access my Microsoft account.  It shows the 'Authenticated b",❓;;os:unknown,🚧;fix-problems;t:fix_problems,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-10-29 01:32:56 -0700
1429267,2023-10-29,"Időnként újra kell konfigurálni a Thunderbird-öt, nem emlékszik, hogy milyen fiókok voltak beállítva Szép napot! Időnként újra kell konfigurálni a Thunderbird-ö",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-10-29 02:13:49 -0700
1429268,2023-10-29,"Folders, containing subfolders. I can't move message to it from INBOX. By drag and drop or by filter- nothing!!! Folders, containing subfolders. I can't move me",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-10-29 02:33:44 -0700
1429269,2023-10-29,Thunderbird 115.3.1 get message button disappeared In my new Thunderbird 115.3.1 there was for a short period a get message button but it disappeared. How do I ,🐧;Ubuntu;os:linux,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-10-29 02:41:17 -0700
1429273,2023-10-29,"email display Having problems with my emails since the change over. They are ascending instead of descending and I can't change it. Also when I log in, emails s",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-29 03:31:00 -0700
1429274,2023-10-29,Open message in conversation feature gone in Thunderbird 115 Hello A feature I used to use frequently is gone now since updating to Thunderbird 115. That was th,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-29 03:39:12 -0700
1429276,2023-10-29,"Egyesített mappák / (!csak a )Beérkezett üzenetek mappa üres. (Nem tölti be különböző levelező fiókok beérkezett üzenetek mappáit Több fiókot kezelő, korábban j",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-10-29 04:26:05 -0700
1429283,2023-10-29,Thunderbird stops the Microsoft Windows key from working I am running Thunderbird version 115.4.1 on the Windows 11 system.  Having Thunderbird active (even in ,🪟;Windows 11;os:win11,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-10-29 06:38:03 -0700
1429286,2023-10-29,"Sähköposti ei saa yhteyttä serveriin Hei, ongelmana on, että Thunderbird sähköposti ei saa yhteyttä sähköpostipalvelimeen. Vielä eilen kaikki toimi oikein. Tosi",🪟;Windows 11;os:win11,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-10-29 08:03:27 -0700
1429288,2023-10-29,salasana hei Miten saan pyytämänne salasanan ,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-10-29 08:42:58 -0700
1429290,2023-10-29,"Thunderbird e-mails cannot get e-mails, repeatedly asks for sign in??? ",🪟;windows 11;os:win11,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-10-29 08:55:21 -0700
1429291,2023-10-29,Thunderbird e-mails will not download e-mails ,🪟;windows 11;os:win11,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-10-29 08:56:34 -0700
1429292,2023-10-29,"Folder will not open My Thunderbird recently automatically updated to the latest version.  One of my sub-folders, containing several important emails is no long",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-10-29 09:01:27 -0700
1429294,2023-10-29,"ich kann plötzlich unter Posteingang keine weiteren Unterordner mehr erstellen Hallo, ich kann plötzlich unter Posteingang keine weiteren Unterordner mehr erste",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-29 09:20:03 -0700
1429296,2023-10-29,"Unable to log in at server. Probably wrong configuration, username or password. After installing Thunderbird I want to set up my existing email address (gmail) ",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-10-29 09:49:48 -0700
1429297,2023-10-29,"old emails in fresh thunderbird install Hi, I'm wondering why I'm seeing 1000+ emails going back to 2017 in my thunderbird gmail account.  I have long since del",❓;;os:unknown,🛠;download-and-install;t:download_and_install,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-10-29 10:28:10 -0700
1429301,2023-10-29,"Thunderbird status bar messages I am trying to diagnose a problem with my POP3 setup.  When I click ""Get Messages"" there are a number of messages that flash thr",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-29 10:55:18 -0700
1429302,2023-10-29,'MESSAGE LIST PANE' PROBLEM Very disappointed that there is still no 'fix' for this far too large Message List Pane issue.   I neither want nor need to see 10 e,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-10-29 11:02:31 -0700
1429307,2023-10-29,Kan geen verbinding mee maken met MS Outlook na update. Kan geen verbinding meer maken met MS Outlook na update. Melding eerst: wachtwoord of nieuw wachtwoord i,❓;;os:unknown,🛠;download-and-install;t:download_and_install,💌;Outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-10-29 11:34:49 -0700
1429308,2023-10-29,"auto download of new email - not working I have my email set to auto check & download every 10 mins however, since this new supernova it no longer works.  I hav",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-29 11:38:32 -0700
1429309,2023-10-29,"Once again, Thunderbird isn't receiving SMS messages from my Samsung phone (sent via Samsung Messages). It's very like my old problem from two years ago (see ht",❓;;os:unknown,🚧;fix-problems;t:fix_problems,💌;Verizon;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-10-29 12:06:15 -0700
1429311,2023-10-29,"Thunderbird doesn't recognize me. new user. 115 on mac mini. All set up and good this AM. Wanted to re-title TB to show as ""mail"". ... ... On launch it stopped ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-29 12:17:48 -0700
1429312,2023-10-29,"PROBLEM TRING TO OPEN MY INCOMING E-MAILS DEAR SIRS, I CAN RECEIVE MY THUNDERBIRD EMAILS OK BUT CAN NOT OPEN THEM. CAN YOU TELL ME HOW TO CORRECT THIS PROBLEM P",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-29 12:37:17 -0700
1429320,2023-10-29,"Need horizontal lines between message headers, disappeared with v115 Hi, I've had this problem two other times with various upgrades, where my setting no longer",🪟;Windows 11;os:win11,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,🪛;userChrome;uc:unsupported_customization,customize;,2023-10-29 14:19:47 -0700
1429329,2023-10-29,"Can't send email via hotmail server After the most recent update, Thunderbird will not allow me to connect to the hotmail SMTP server to send email.  I get a me",❓;;os:unknown,🚧;fix-problems;t:fix_problems,💌;hotmail;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-10-29 15:46:34 -0700
1429331,2023-10-29,"Folder issue with Thunderbird 115.4.1 Ever since I installed Thunderbird 115.4.1 (32-bit), I am having issues with folders displaying the number of unread messa",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-29 16:11:48 -0700
1429335,2023-10-29,"18000 emails in an account, Thunderbird wants to download them all before I can do anything This is  my wife's email account which she uses and which also shows",❓;;os:unknown,👽;other;t:other,💌;Verizon;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-10-29 16:42:17 -0700
