id,created,updated,title,content,tags,product,topic,locale,answers,creator
1413615,2023-05-17 17:11:55 -0700,2023-05-21 21:19:20 -0700,write or send email program switches off,<p>most days i open mozilla thunder bird i can read e-mails no problem as soon as i go to write e-mail thunderbird switches off and i have to restart computer </p>,other;,thunderbird,other,en-US,1581629;1581630;1581908;1581930;,waterwise
1413616,2023-05-17 17:21:47 -0700,2023-05-17 17:21:47 -0700,"Downloading messages to my inbox fails with a message sent that says ...Server Centurylink.net has disconnected.  The server may have gone down....It happens most every time I open Thunderbird.    Suggestions, please.","<p>If there is something that I need to adjust, please advise. I have not made any adjustments to my APP.  Do I need to make one or more? Thanks for your time. JFCamp. </p>",fix-problems;,thunderbird,troubleshooting,en-US,"",jfcamp
1413619,2023-05-17 18:13:29 -0700,2023-05-19 01:16:59 -0700,Allegati non visibili,"<p>Buongiorno, è da un po' di tempo che ho un problema abbastanza fastidioso con Thunderbird. Capita che arrivino da parte di clienti delle mail veloci senza oggetto e senza testo contenenti però un allegato. Quello che succede è che Thunderbird non mi indica in nessun modo che è presente l'allegato, me ne accorgo SOLO se premo il tasto inoltra. In quel momento (e solo in quel frangente) mi compare l'allegato (principalmente pdf) che posso scaricare/aprire normalmente. Avevo installato l'ultima versione stabile di thunderbird (quella normalmente scaricabile dal sito), ho provato una versione beta per vedere se era un problema solo dell'ultima versione ma non cambia nulla anche lì. </p>",fix-problems;,thunderbird,troubleshooting,it,1581288;1581428;1581465;,ligabuefabio
1413621,2023-05-17 18:37:19 -0700,2023-05-20 01:51:25 -0700,Moving folder issues,"<p>I have an issue with folders being accidentally moved and potential loss of data as a result. </p><p>The problem seems to arise when using the vertical scroll bar in the Folders pane. If the cursor moves to the left of the scroll bar during scrolling the cursor will sometimes pick up a folder and then drop it in a different location when the mouse button is released. This has happened to me several times. Sometimes I see it happen and others I don't. </p><p>The problem: </p><p>The moved folder may reappear in a new location or it may disappear. I recently discovered a folder on my laptop that was in the wrong place (it had become a subfolder) and it can only have got there following an accidental move. I verified that the folder still contained emails. I then moved it deliberately (up one level so that it was no longer a subfolder) using drag and drop and it disappeared. A search for the content of the emails yielded no results and looking in my profile folder I could see no files that related to the missing folder. It therefore apprears that the entire folder has been expunged from the profile on this machine in some way. </p><p>When I access my emails from a different machine, a desktop, the folder in question is present, in the correct place and contains emails. These two profiles are accesing the same IMAP server but one is showing the folder and the other not. </p><p>Questions: </p><p>How should I best reinstate the folder on my laptop? </p><p>If I want to deliberately move a folder in the future what is the best way to do this? </p><p>In the event of noticing an accidental move in the future what is the best way to reverse it? </p><p>If Mozilla could introduce a verification (with a cancel option) dialoge upon a folder move I believe that it would be a beneficial feature. </p><p>Many thanks for any help that can be offered. </p>",other;,thunderbird,other,en-US,1581624;,allan55
1413626,2023-05-17 19:23:18 -0700,2023-05-19 19:32:06 -0700,"Will my emails be deleted after completing a Windows ""refresh""?","<p>My laptop, which is running Windows 8.1, recently wouldn't boot up properly due to an error and after much agony it finally gave me the option of ""refreshing"" Windows without deleting my files but unfortunately all programs/apps which I've installed will be deleted including Thunderbird. </p><p>My question is will all my emails also be deleted along with Thunderbird or are they considered to be files, meaning Windows won't dispose of them and they'll be restored once I install Thunderbird again? I have no way of backing them up as the laptop only boots up as far as recovery options so I'd like to know before I go ahead with the refresh. </p><p>Thanks </p>",other;,thunderbird,other,en-US,1581244;1581559;1581572;,zinc_plus_mag
1413631,2023-05-17 20:34:11 -0700,2023-05-18 12:48:25 -0700,how to use /dev/shm for global-messages-db.sqlite?,"<p>How can I tell thunderbird on Linux to create and use global-messages-db.sqlite in an arbitrary directory, eg /dev/shm instead of slow NFS storage? I know it will be gone on the next reboot, but that doesn't matter to me.  </p><p>Regards Harri </p>",fix-problems;,thunderbird,troubleshooting,en-US,1581407;,Harridu
1413634,2023-05-17 20:51:11 -0700,2023-05-17 21:31:04 -0700,An account has been blocked by administrator due to suspected SPAM activity thunderbird,"<p>Hello, i can't send messages because of this problem: An account has been blocked by administrator due to suspected SPAM activity thunderbird  </p><p>Can you help me? </p>",fix-problems;,thunderbird,troubleshooting,en-US,1581245;1581248;1581251;,adrian87
1413637,2023-05-17 22:13:24 -0700,2023-05-17 22:30:25 -0700,Vacation,<p>I am going on vacation for 10 days how do i stop having e mail come through for just those days. </p>,other;,thunderbird,other,en-US,1581269;,jenneanreed
1413639,2023-05-17 22:19:12 -0700,2023-09-19 18:41:25 -0700,Migration from Thunderbird 91 to 102 - Missing account,"<p>Hello, I just installed Thunderbird 102 over a previous installation on Windows 10. I had 6 account/mailboxes. At the restart of Thunderbird, I had only 5. The account ""<a href=""http://katamail.com"" rel=""nofollow"">katamail.com</a>"" is gone and I cannot see my messages. But they still are inside ""E:\POSTA\Mail\<a href=""http://pop.katamail-1.com"" rel=""nofollow"">pop.katamail-1.com</a>\"" . Or, at least, I hope so. There, there are the file Inbox and Sent of several megabytes. How could I recover that account? The other 5 have been read/recovered automatically... Many thanks for the support! Matteo </p>",download-and-install_1;,thunderbird,installation-and-updates,en-US,1581270;1581271;1581285;1581301;1581304;1581577;1604963;,ing.barison
1413640,2023-05-17 22:44:17 -0700,2023-05-17 22:44:17 -0700,Painel de exibição de mensagens em grade,"<p>Atualizei recentemente meu Thunderbird e as linhas (grades) do painel de mensagens sumiu. A visualização em grade, com as linhas em cinza e branco facilita a visualização e localização de mensagens. Como voltar essa opção de visualização? </p>",customize;,thunderbird,settings,pt-BR,"",leticia6
