id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1421107,2023-08-14,"Highlight/message bar is not working to select messages for me to read and or delete. HI! Thanks for your help. When i open thunderbird, the blue message highli",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-13 17:51:49 -0700
1421108,2023-08-14,Lost Emails on Upgrade I upgraded from Thunderbird 102 to 115. All my emails disappeared. How do I get them back? ,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-13 18:25:23 -0700
1421124,2023-08-14,TB 115.1.0 new calendar entry has a shift of +9hrs When I create a new entry the calendar (TB 115.1.0) the entry is moved by 9hrs after sync with server. If I e,❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-08-14 00:05:56 -0700
1421125,2023-08-14,"new mail didn't support backgroud color reply mail support backgroud color, but new mail didn't support backgroud color ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-14 00:20:12 -0700
1421127,2023-08-14,Sähköpostit eivät lähde Sähköpostin lähettäminen ei onnistu. Kyseessä yrityksen tili ja viestit on pakko saada toimimaan. Lähtevän sähköpostin palvelin on smtp/,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-14 00:32:16 -0700
1421130,2023-08-14,"problem synchronizing sent emails. I have recently set up an outlook email account with thuntherbird (default configuration), however I am having problems with ",❓;;os:unknown,👽;other;t:other,💌;outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-14 01:21:34 -0700
1421132,2023-08-14,"Can I delete some of these files under Profiles? Hello, I ventured into the bowels of Profiles in Thunderbird and found I have these files. Is it safe to delete",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-14 01:55:44 -0700
1421133,2023-08-14,Hacer un seguimiento de los correos Como puedo hacer un seguimiento de los correos enviados que me avisen en una semana si no han sido contestados. ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-14 02:31:25 -0700
1421135,2023-08-14,Thunderbirdin otsikkoruudun koko Uudessa versiossa otsikkoruudun koko on minimissään n.8 riviä. Ennen sen sai vaikka kolmen rivin kokoiseksi . Miten sitä voisi ,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-14 02:39:44 -0700
1421136,2023-08-14,gmail - chyba autorizace Přeji hezký den! Používám Thunderbird na práci s poštou gmail mnoho let. Letos v červnu (květen) se přestal thunderbird přihlašovat k g,❓;;os:unknown,👽;other;t:other,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-14 02:49:40 -0700
