id,created,updated,title,content,tags,product,topic,locale,answers,creator
1401059,2022-12-31 18:21:46 -0800,2023-01-01 04:15:51 -0800,"No Mails visible in any folder/ hitting ""properties "" and ""repair folder"" makes it visible in one folder. Repeating the procedure in another works, but mails disappear in the first one again. Troubleshoot procedures #1,2,3 not working","<p>Opening Thunderbird after Computer restart: -&gt; no messages in any folder visible Hitting Properties and ""Repair folder"" makes them visible Repeating procedure on another folder works, but the mails in the folder repaired before disappear again I tried the procedures #1,2,3,  deleting the MSF Files, always with program restart had no positive results </p><p>Only POP accounts </p><p>thank you in advance </p>",fix-problems;,thunderbird,troubleshooting,en-US,1557017;1557041;1557042;1557044;1557047;,tichmann
1401060,2022-12-31 19:41:54 -0800,2023-01-01 22:49:54 -0800,Thunderbird can´t send SMTP,"<p>Hello, I have two email accounts with gmx Mail. One is working fine, the other suddenly stopped sending SMTP Messages. I resetted the password on gmail but that didn´t solve the problem. I turned AVAST Antivirus off but problem remained. What can I do about that? </p><p>Using Thunderbird 102.6.1 and Windows 10 </p>",privacy-and-security_1;,thunderbird,privacy-and-security,en-US,1556993;1557187;1557190;,kombuchabaer
1401063,2022-12-31 21:24:31 -0800,2023-01-01 01:54:36 -0800,Regarding Folder Compaction,<p>I like this feature where Thunderbird detects smartly that a lot of emails have been deleted and/or moved and hence the underlying .sqlite folders need to be compacted.  However I have the following suggestions towards the same </p> <ol><li> The compaction can be scheduled on exit of TB client. This is to ensure and avoid errors like folder is in use. </li><li> Size of the folder when compaction be triggered be left configurable from the Config Editor. As of now I guess it is best left to TB client to decide the same based on a host of parameters. </li></ol>,other;,thunderbird,other,en-US,1557008;,lavanyadeepak
1401064,2022-12-31 21:28:32 -0800,2023-01-01 00:36:01 -0800,No IMAP folders except inbox and deleted (Linux),"<p>I've just installed Linux Lite with Thunderbird on an old PC.  I manually set up IMAP email using the server on my web hosting company.  (I always have to do this as the server name isn't obvious.) </p><p>I have 21 server folders but none of them appear except for 'inbox' and 'deleted.'  Not even junk or spam appear.  I've checked that these folders with their contents still appear on EM Client (Windows) Aquamail (Android) and Roundcube webmail.  </p><p>If I search for a message in one of the missing folders it does <strong>not</strong> appear although ""Search subfolders"" is selected. </p><p>I've seen advice to right-click on the account name and select ""subscribe"" but there is no such menu item. (The menu has only Get messages, Open in new tab, Open in new window, Search messages, New folder, Mark all folders read and Settings.)  I've been all around the settings and cannot find any option to subscribe to folders.  I've shut down and re-started but no change.    </p><p>There is  another odd thing, I presume unrelated: a group of messages from one sender appear in Thunderbird with today's date although they are a few months old.  They appear correctly in other clients. </p>",fix-problems;,thunderbird,troubleshooting,en-US,1556970;1556989;,TonyWoolf
1401069,2022-12-31 23:05:27 -0800,2023-01-01 02:24:07 -0800,Can send email but cant receive email,<p>I have used thunderbird for years but now cant receive emails. Weird issue is i can send email out. </p><p>attached my setting info. </p>,other;,thunderbird,other,en-US,1557019;1743736;,SumoBot
1401073,2023-01-01 01:26:18 -0800,2023-01-01 02:56:42 -0800,Message Reply not saved in Sent folder,"<p>I am using the latest version of Thunderbird on a Windows computer.  I have no Thunderbird  extensions and am using all of the default settings. </p><pre>When I create and send a message it is saved in the Sent folder, but when I reply to a message it is not saved in the Sent Folder, although the message does actually get sent. There are no error messages. </pre> <p>I have tried re-installing Thunderbird, compacting each folder, repairing each folder, and turning off my security software, all to no avail. </p><p>I tried researching the issue but could not find anything that would pertain to this problem. </p><p>I would appreciate any technical support you can provide. </p><p>Thank you. </p>",other;,thunderbird,other,en-US,1557003;1557020;1557028;1557032;1726895;,SumoBot
1401076,2023-01-01 01:58:52 -0800,2023-01-06 23:35:27 -0800,Thunderbird Font Sizes,"<p>First some feedback: Please don't allow references to Thunderbird menu items in answers unless they include the full menu path and are kept up-to-date as Thunderbird changes. Trying to figure out how to fix my problem, I found top 10 contributor responses referring to Thunderbird menu path in Thunderbird 102.1.0 (64-bit) Tools &gt; Settings &gt; General, which doesn't exist in Thunderbird 102.4.2 (64-bit); however, Edit &gt; Settings &gt; General does exist. (I know this problem is not just on Mozilla's forum, but with IT help everywhere.) </p><p>My ""problems"": 1. When I set Fonts &amp; Colors to Default (DejaVu Sans), size 16 (what?), it reverts to sans-serif (is that the correct behavior?), but after closing the settings page, exiting and restarting Thunderbird 102.4.2 (64-bit), and either replying to an email or composing a new email, the font size defaults to ""medium"" and the actual size of a text ""W"" is 12 pixels (0.131 inches on a 24"" 1920x1080 monitor, which would be 9.4 pts). A ""large"" ""W"" is 13 pixels high. I shouldn't have to change the size of the font every time I create a new email...which has been said before and apparently NOT fixed. </p><p>2. When ""medium"" and ""large"" text is printed on an HP OfficeJet, whether I print the email or a screenshot of the email, the height of the printed 12 and 13 pixel ""W""s  is 8.9 and 9.6 point (1 pt = 1/72""), respectively. In fact it appears that the three (proportional/monospace/minimum) size settings have little to do with the font sizes used. For example (respective settings): for 24/18/10, default/medium ""W""s are 18 pixels, tiny/large ""W""s are 13/21 pixels for 24/24/24, default/medium ""W""s are 18 pixels, tiny/large ""W""s are 18/21 pixels for 16/16/10, default/medium ""W""s are 12 pixels, tiny/large ""W""s are 8/13 pixels for 18/18/12, default/medium ""W""s are 13 pixels, tiny/large ""W""s are 10/16 pixels for 20/20/12, default/medium ""W""s are 14 pixels, tiny/small/large ""W""s are 12/13/18 pixels for 20/20/10, default/medium ""W""s are 14 pixels, tiny/small/large ""W""s are 12/13/18 pixels Stated another way: there is no rational relationship between the number settings used and the font size options or what is actually printed. At least if they were pixel sizes, some could figure out how large they'll display... </p><p>It took well over 2 hours of searching on line to no avail and finally using trial and error to figure out how to control font sizes well enough so when someone asks me to use font size 14 because of their aging eyes, I might actually be able to figure out what medium setting I need. (I didn't bother testing the monospace font size.) </p>",other;,thunderbird,other,en-US,1557033;1557035;1558121;1558126;1728253;,SumoBot
1401078,2023-01-01 02:14:09 -0800,2023-01-01 18:43:30 -0800,How to clean up Thunderbird and Eliminate Unnecessary Files,"<p>It takes a long time to backup my Thunderbird profile files (20+ years of use).  There are numerous "".final"" files and others that seem to be unnecessary and drastically slow down the backup process.  How can I clean up the needed Thunderbird files and eliminate the others? </p>",other;,thunderbird,other,en-US,1557131;1557132;1557133;,hborchids
1401080,2023-01-01 02:25:31 -0800,2023-01-01 16:54:49 -0800,not downloading email,"<p>all of a sudden Thunderbird isn't downloading our emails.  I am able to send email though.  Down at the bottom is says ""searching"" and then nothing happens when I try to ""get messages"".  Any ideas? </p>",other;,thunderbird,other,en-US,1557122;,ag3
1401081,2023-01-01 02:33:28 -0800,2023-01-03 03:36:37 -0800,unable to write the email to the mailbox in Thunderbird,"<p>Ever since I upgraded Thunderbird to version 102.6.1, I keep getting the message ""unable to write the email to the mailbox in Thunderbird"" </p><p>There's plenty of disk space and permissions haven't been changed. And then I tried creating a new profile, and it worked until I shut down the PC for the night, and in the morning, the problem recurred in the new profile too. </p><p>This is greatly hampering my work, so please help me. </p><p>I have donated to Thunderbird and will continue to do so if this problem can be resolved. </p>",fix-problems;,thunderbird,troubleshooting,en-US,1557024;1557026;1557124;1557185;1557214;1557219;1557225;1557236;1557255;1557259;1557395;1557428;,HankFriedman
