id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1416123,2023-06-17,Lost my mails The other day some strange things happened with my pc - cannot remember the details but it was something with restart. It resulted in amongother t,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-16 17:04:14 -0700
1416124,2023-06-17,Thunderbird freezes while composing message TB 102.12.0(64 bit) on Win 11 freezes randomly when composing a message.  When it freezes the only way to free my sy,🪟;Win 11;os:win11,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-06-16 18:02:55 -0700
1416126,2023-06-17,"Google Pop Up 'One Account All of Google' in Thunderbird Hello, How do I stop this Pop UP when Thunderbird starts? As far as I can tell cookies are enabled and ",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-06-16 19:05:13 -0700
1416128,2023-06-17,TB login on one Gmail account not working I have four Gmail accounts and three are working on TB on my Windows 10 desktop. On the fourth account (genealogyjoe@g,🪟;Windows 10;os:win10,🔏;privacy-and-security;t:privacy_and_security,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-06-16 19:48:53 -0700
1416134,2023-06-17,"Email to a single .outlook.com addressee is ""sent"" but does not arrive. Works perfectly when using MS Outlook Using Thunderbird 102.12.0 (64-bit) on Win10 PC. 3",🪟;Win10;os:win10,🚧;fix-problems;t:fix_problems,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-06-16 22:35:32 -0700
1416135,2023-06-17,"New Thunderbird Hello -  I upgraded to the BETA version today.  Its good, but none of my email addresses migrated to the NEW Version.  How can I get them across",❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-06-16 22:46:15 -0700
1416141,2023-06-17,"Thunderbird will not check emails on one account The other day, one of my hard disks went on the blink and became very slow to access (minutes, not seconds).  A",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-06-17 00:36:24 -0700
1416145,2023-06-17,"Mail ARUBA Buongiorno, ho installato thunderbird e migrato la posta da un vecchio outlook. Ma ora non ricevo ne invio mail perchè ogni volta che provo a inviare",❓;;os:unknown,🚧;fix-problems;t:fix_problems,💌;outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-06-17 02:23:28 -0700
1416146,2023-06-17,"Error in ""Adding a holiday calendar"" guide It seems that this guide does not work anymore: https://support.mozilla.org/en-US/kb/adding-a-holiday-calendar The po",❓;;os:unknown,📅;calendar;t:calendar,🇾;Yahoo;m:yahooemail,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-06-17 04:20:12 -0700
1416152,2023-06-17,"Fat-finger caused all inbox folders to disappear I am a lousy typist.  Recently, I somehow fat-fingered something I was typing and all of my inbox folders disap",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-06-17 05:37:20 -0700
1416153,2023-06-17,impostazioni nuovo account posta Buongiorno sto provando ha inserire un nuovo account di posta elettronica (il .gmx) che ho visto dal sito ufficiale essere perf,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-17 05:47:48 -0700
1416156,2023-06-17,"ho un problema buongiorno, non ricevo i messaggi di posta elettronica. ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-17 07:04:21 -0700
1416158,2023-06-17,"I can't get my email any more using Thunderbird.  I logged into att.com to view my bill.  I could not remember the password, so I reset it.  More below: I can't",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,🇾;att.net;m:yahooemail,🇪;eset;av:eset,❓;;uc:unknown,privacy-and-security_1;,2023-06-17 07:39:48 -0700
1416159,2023-06-17,Mozilla compatible VPN Know of a Thunderbird compatible VPN? tks ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-17 08:20:03 -0700
1416166,2023-06-17,how to record password for my server how to record password for TB to log into my server: mail.com so I don't have to reenter it each time I want to send email ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-17 11:21:38 -0700
1416167,2023-06-17,"Deleted emails Hi Guys, I have managed to lose 1 months worth of emails, Is it possible to download them from a data base? I know the emails in Thunderbird are ",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-17 11:42:10 -0700
1416168,2023-06-17,"Using Saved Search to Capture all Emails Received Today Using Thunderbird 102.12.0 on Mac OS Ventura 13.4.  Mac Mail has a ""smart"" folder called Today which cap",🍎;Ventura;os:macos,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-17 11:52:59 -0700
1416175,2023-06-17,"I am unable to send emails to Gmail users Recently, I am not able to send emails to anyone with a Gmail account.  How can I fix this issue? ",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-06-17 13:23:05 -0700
1416178,2023-06-17,Tengo varias cuentas de correo y quiero que una de ellas sea la determinada por defecto para enviar correos a través de ella Tengo varias cuentas de correo y qu,❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-06-17 14:11:50 -0700
1416182,2023-06-17,Archive vs Export vs Copy I'm trying to understand the difference between archive and export and copy so I can get my task done with the least confusion. I have,❓;;os:unknown,👽;other;t:other,💌;Outlook;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-17 15:01:05 -0700
