id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1421763,2023-08-21,"TB Keeps checking a deleted account. I removed an IMAP type account hosted at Google domains. It is not on the list of accounts, yet, every 10 minutes, and at s",🐧;Linux;os:linux,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-20 19:19:14 -0700
1421765,2023-08-21,Thunderbird on ARM64 I've seen ARM64 listed as a Tier 2 platform in a thread a couple years ago. I'm here to ask that Thunderbird PLEASE be ported to Windows on,🐧;Linux;os:linux,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-20 19:28:28 -0700
1421770,2023-08-21,"Unfavorite A Favorited Folder Hi! Currently getting Thunderbird set up, and I accidentally favorited some folders that I didn't need to. I see no option to ""unf",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-20 22:09:05 -0700
1421777,2023-08-21,Some emails from Microsoft Exchange are not received with POP3 Some incoming emails do not appear in my Thunderbird Inbox. The mail environment is as follows. S,❓;;os:unknown,🚧;fix-problems;t:fix_problems,💌;Microsoft Exchange;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-21 00:23:39 -0700
1421779,2023-08-21,"Automate spam checking and unify it with inbox I have several email accounts in Thunderbird. As expected, it regularly checks the inbox in each of them and down",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-21 00:32:41 -0700
1421782,2023-08-21,"Sent Emails were Corrupted and deleted suddenly Hello Every one ,  Suddenly, i found that all sent email was deleted .  Why that happened ?? , and how i could g",❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-08-21 01:49:38 -0700
1421787,2023-08-21,"thunderbird si blocca principalmente durante l'eliminazione di messaggi gmail Ciao a tutti, ho un problema di blocco continuo del programma principalmente duran",❓;;os:unknown,🚧;fix-problems;t:fix_problems,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-21 04:19:30 -0700
1421799,2023-08-21,"Thunderbird nestahuje doručenou poštu Dobrý den, dnes cca 9:oo přestal Thunderbird 102.14.0 stahovat doručenou poštu. Kde může být problém? Odesílání pošty bez ",❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-21 05:53:31 -0700
1421801,2023-08-21,"Attachment not visible on some emails Hello, sometimes I receive an email with attachment, but attachments are not visible within the client.  The message sourc",🐧;ubuntu;os:linux,🚧;fix-problems;t:fix_problems,❓;;m:unknown,🇰;kaspersky;av:kaspersky,❓;;uc:unknown,fix-problems;,2023-08-21 06:31:16 -0700
1421808,2023-08-21,"Letras Do Thunderbird Não consigo ajustar o zoom da maquina de modo algum, tento de todo o jeito salvar as configurações das letras mas todas as vezes voltam ao",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-21 07:26:19 -0700
1421812,2023-08-21,"Podpis v emailu Dobrý den, rád bych si nastavil podpis v emailu v thunderbird, který bude obsahovat naše logo i odkazy na webové stránky, instagram, facebook. B",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-21 07:37:06 -0700
1421817,2023-08-21,"K9-Mail to Thunderbird I've read the Blog posted 1-Aug-2023. When do you anticipate K9-Mail will be come stable enough to obtain the moniker ""Thunderbird"" Andro",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-21 07:59:11 -0700
1421818,2023-08-21,Thunderbird fails to install on Windows 22H2. Trying to install T'bird for a customer and it thought a Windows 10 22H2 computer was Windows 7 - it would not ins,🪟;Windows 10;os:win10,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-21 08:40:00 -0700
1421831,2023-08-21,"Transfer calendar settings to another install We use o365 at my work, and my dept has a group calendar. I have it working fine on my work system which is a fedo",🪟;win 11;os:win11,📅;calendar;t:calendar,💌;o365;m:microsoftemail,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-08-21 10:16:46 -0700
1421832,2023-08-21,Password dimenticata e non salvata su strumenti testo in grassettoNon ricordo la password per scaricare le ultime mail ,❓;;os:unknown,🔏;privacy-and-security;t:privacy_and_security,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,privacy-and-security_1;,2023-08-21 10:18:18 -0700
1421834,2023-08-21,All day calender events move back one day Use Tbsync to synchronize (shaw) exchange calendar. Everything working great just have a weird problem. When I create ,❓;;os:unknown,📅;calendar;t:calendar,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,calendar;,2023-08-21 10:51:58 -0700
1421840,2023-08-21,"Spam ""Reply To"" blacklist filter not working I've been getting a lot of spam the past few months, so have been working on filtering the true spam from new sende",❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-21 11:28:42 -0700
1421844,2023-08-21,"For the error message ""Unable to connect to your IMAP server..."" it is unclear what server exectly. Activity manager error message: ""Unable to connect to your I",❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-21 12:11:07 -0700
1421845,2023-08-21,cannnot sent email from thunderbird - one of many email addresses i use thunderbird with 8 email accounts all of them have been working flowlessly for many mont,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-08-21 12:12:12 -0700
1421849,2023-08-21,I am trying to copy the file abook.sqlite to another PC I have located the file abook.sqlite on the original PC and I have copied to a USB key But I cannot loca,❓;;os:unknown,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-21 13:17:31 -0700
1421850,2023-08-21,"I want all my Thunderbird email folders (Inbox, Sent, locals, etc.) assigned to my D drive, not my C drive. I have a very large D drive on my HP pc and a (relat",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-08-21 13:30:24 -0700
1421851,2023-08-21,IMAP mail not synchronising Suddenly new IMAP mail has stopped appearing.  The mail is there on the server but not on my PC.  I tried repairing the folder and n,🪟;Windows 10;os:win10,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-08-21 13:48:56 -0700
1421853,2023-08-21,Copied ...\Roaming\Thunderbird to new Win 10 pc but SSL Problem stops Get Messages I followed instructions for migrating thunderbird (102.14.0) pop client to ne,🪟;Win 10;os:win10,🛠;download-and-install;t:download_and_install,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-08-21 14:01:32 -0700
