id,date,content_1st160chars,os,topic,email_provider,antivirus,userchrome,tags,created
1416704,2023-06-25,no emails I am unable to send or receive emails I have not received any emails since 21 June 2023 ,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-06-24 19:17:57 -0700
1416712,2023-06-25,email alert How do I turn off the  red number that appears in my email icon? Sometimes I come back to my computer & it is showing 50 or maybe 100 as being the t,❓;;os:unknown,🔩;customize;t:customize,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,customize;,2023-06-24 22:40:17 -0700
1416717,2023-06-25,Non riesco a configurare Thunderbird con account Gmail E' da giorni che provo e riprovo (senza riuscirci) a configurare Thunderbird per un account di posta Gmai,❓;;os:unknown,👽;other;t:other,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-25 01:36:35 -0700
1416719,2023-06-25,"Variable fonts on email My settings for emails I write is Arial,. so why does everything I write appear in a very small font which I have to highlight and chang",❓;;os:unknown,🔩;customize;t:customize,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,customize;,2023-06-25 03:56:54 -0700
1416738,2023-06-25,Importazione accounts gmail dafile zip Buonasera. Ho importato in una nuova installazione su un nuovo pc i miei account di posta gmail ed i miei feed. Quando pe,❓;;os:unknown,🛠;download-and-install;t:download_and_install,📮;gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,download-and-install_1;,2023-06-25 08:50:32 -0700
1416744,2023-06-25,How to unmark multiple e-mails Multiple e-mails are marked as junk. Why can I only unmark them one by one? I can select multiple e-mails and archive them but no,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-25 10:19:02 -0700
1416746,2023-06-25,"Lost emails, lost attachments I have two problems with my Thunderbird email program. I update TBird whenever it says there's a new version, so I have the curren",❓;;os:unknown,👽;other;t:other,💌;Outlook;m:microsoftemail,🇧;BitDefender;av:bitdefender,❓;;uc:unknown,other;,2023-06-25 10:29:44 -0700
1416751,2023-06-25,Email Signatures How can I create an email signature with an embedded png file (logo) and clickable website link? ,❓;;os:unknown,👽;other;t:other,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-25 12:54:19 -0700
1416754,2023-06-25,NOTHING ON MOZILLA ADDS MY MAIL WHERE IS THE HELP bold text ,❓;;os:unknown,🚧;fix-problems;t:fix_problems,❓;;m:unknown,❓;;av:unknown,❓;;uc:unknown,fix-problems;,2023-06-25 13:30:58 -0700
1416761,2023-06-25,Changing ISP from Mediacom to Google Fiber. I am switching my ISP from Mediacom to Google Fiber. I have to establish a Gmail account and the Google guy told tha,❓;;os:unknown,👽;other;t:other,📮;Gmail;m:gmail,❓;;av:unknown,❓;;uc:unknown,other;,2023-06-25 16:58:26 -0700
